NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ELBSTROM,34907U,9369007,CQHB,133.25,22.2,9.5,7.36,1856,8273,11007,139.6,https://www.vesselfinder.com/vessels/details/9369007
CONTSHIP FOX,12020S,9507714,Container ship,147.87,141.37,23.25,11.5,8.5,9909,4503,13874,https://www.vesselfinder.com/vessels/details/9507714
MSC MEDITERRANEAN,13345H,9102710,Container ship,202.8,193.86,30.6,16,11.95,29181,14502,41616,https://www.vesselfinder.com/vessels/details/9102710
KRISTIN SCHEPERS,29960S,9404089,Container ship,140.6,130.68,21.8,9.5,7.33,7852,3363,9500,https://www.vesselfinder.com/vessels/details/9404089
JSP SLEIPNER,32193U,9347774,Container ship,139.15,129,22.6,11.8,8.8,9981,4900,11846,https://www.vesselfinder.com/vessels/details/9347774
A2B PROUD,42947J,9122239,PEUQ,101.12,96,18.2,8.25,6.55,3999,2176,5212,https://www.vesselfinder.com/vessels/details/9122239
PARPALI,25044Y,9134701,Container ship,142.21,24,11.1,8.3,2824,10925,13583,151.49,https://www.vesselfinder.com/vessels/details/9134701
CMA CGM JACQUES JUNIOR,26595K,9722716,Container ship,299.9,286,48.2,20.32,14.5,95680,52015,110569,https://www.vesselfinder.com/vessels/details/9722716
CMA CGM KIMBERLEY,37899W,9894973,Container ship,366,355.4,51,30.2,16,153907,68860,155000,https://www.vesselfinder.com/vessels/details/9894973
CMA CGM AFRICA ONE,12892Q,9451915,Container ship,228,217.3,37.3,19.34,12.45,40827,24146,51634,https://www.vesselfinder.com/vessels/details/9451915
SEATRADE ORANGE,31859G,9690092,Container ship,185,175.96,30,16.5,9,24901,9207,26947,https://www.vesselfinder.com/vessels/details/9690092
ISEACO GENESIS,06381N,9138147,Container ship,166.97,158,27.3,13.5,8.42,15095,6453,18580,https://www.vesselfinder.com/vessels/details/9138147
MSC AMY,27918X,9242651,Container ship,178.57,168.65,27.6,14.58,10.87,17189,9038,22308,https://www.vesselfinder.com/vessels/details/9242651
WEC JAN STEEN,25916W,9354416,Container ship,134.44,124.41,22.5,11.3,8.7,9962,6006,11433,https://www.vesselfinder.com/vessels/details/9354416
NORDICA,13511N,9483695,PCSK,151.72,142.42,23.4,9.5,8,10318,5391,12848,https://www.vesselfinder.com/vessels/details/9483695
SEATRADE BLUE,31861J,9756107,Container ship,185,175.97,30,16.5,9,24905,9207,26871,https://www.vesselfinder.com/vessels/details/9756107
MSC HOUSTON,37509X,9463281,CQRC,266.65,250,35.4,19.5,12.7,44234,24146,52184,https://www.vesselfinder.com/vessels/details/9463281
CMA CGM RIVOLI,34639D,9839193,Container ship,399.9,383,61.3,33.5,16,236583,101823,221251,https://www.vesselfinder.com/vessels/details/9839193
CMA CGM PATAGONIA,37279X,9894961,Container ship,366,355.4,51,30.2,16,153907,68860,154077,https://www.vesselfinder.com/vessels/details/9894961
CMA CGM HOMERE,09467S,9362322,Container ship,170,154.6,27.2,14,9.36,17594,7181,21264,https://www.vesselfinder.com/vessels/details/9362322
CMA CGM APOLLON,37721D,9882516,Container ship,366,355.39,51,30.2,16,154995,72841,155802,https://www.vesselfinder.com/vessels/details/9882516
ACACIA VIRGO,12701H,9338292,Container ship,147.81,140.3,23.25,11.5,8.51,9954,5117,13727,https://www.vesselfinder.com/vessels/details/9338292
MSC ELBE III,32171V,9236688,Container ship,208.31,195,29.8,16.4,11.4,26106,12028,33691,https://www.vesselfinder.com/vessels/details/9236688
WAN HAI 265,01744X,9230232,Container ship,198.04,184,28,14,9.53,18872,8515,23629,https://www.vesselfinder.com/vessels/details/9230232
KUO LUNG,39H866,9148544,Container ship,168.8,156.75,27.3,13.5,8.4,15095,6453,18581,https://www.vesselfinder.com/vessels/details/9148544
CMA CGM CHRISTOPHE COLOMB,14111Q,9453559,Container ship,365.5,349.5,51.2,29.9,16,151446,86099,165375,https://www.vesselfinder.com/vessels/details/9453559
CMA CGM TAGE,24320M,9674555,Container ship,299.95,286,48.2,24.6,14.8,96253,39892,113800,https://www.vesselfinder.com/vessels/details/9674555
HEINRICH EHLER,22905Y,9372200,Container ship,168.11,155.4,26.8,14,9.61,17488,8125,17861,https://www.vesselfinder.com/vessels/details/9372200
CMA CGM OSAKA,43604X,9400291,Container ship,260.05,245.16,32.25,19.3,12.62,40165,24450,50554,https://www.vesselfinder.com/vessels/details/9400291
ELBE,22999B,9244180,Container ship,123.4,19.2,9.2,6.94,2235,6191,7792,132.6,https://www.vesselfinder.com/vessels/details/9244180
CUSSLER,38863U,9314997,Container ship,222.17,210,30,16.8,12.02,28927,15033,39200,https://www.vesselfinder.com/vessels/details/9314997
CMA CGM FORT ST PIERRE,03105C,9261891,Container ship,197.2,184.99,30.2,16.6,11.01,26342,10218,30804,https://www.vesselfinder.com/vessels/details/9261891
TAMANRASSET,34009T,9760615,Container ship,159.58,28.1,49.63,9.5,4732,18870,23354,169.96,https://www.vesselfinder.com/vessels/details/9760615
NCL IKORNNES,32192T,9347798,Container ship,139.19,129,22.6,11.8,8.6,9981,4900,11814,https://www.vesselfinder.com/vessels/details/9347798
CMA CGM GEORGIA,08647B,9351127,Container ship,283.2,32.2,21.8,13.5,3867,54309,34011,65890,https://www.vesselfinder.com/vessels/details/9351127
CMA CGM GREENLAND,37902A,9895006,Container ship,366,355.4,51,30.2,16,153907,68860,154223,https://www.vesselfinder.com/vessels/details/9895006
MSC IDA II,01040H,9224946,Container ship,195.6,182.34,30.2,16.6,11.01,26050,10209,30442,https://www.vesselfinder.com/vessels/details/9224946
SKIATHOS I,21513L,9635688,Container ship,270,258,42.8,24.8,14.5,71112,41072,80115,https://www.vesselfinder.com/vessels/details/9635688
CMA CGM LA TRAVIATA,04761C,9299795,Container ship,334.07,314.71,42.8,24.6,14.52,91410,48921,101779,https://www.vesselfinder.com/vessels/details/9299795
MEDKON NLS,08814H,9390812,Container ship,132.6,122.54,19.2,9.2,7.21,6743,3557,8238,https://www.vesselfinder.com/vessels/details/9390812
LOG-IN JATOBÁ,21578G,9471898,Container ship,218.45,207.5,29.8,16.7,11.6,28554,14345,37968,https://www.vesselfinder.com/vessels/details/9471898
CMA CGM ZEPHYR,37366S,9882487,Container ship,366,355.39,51,30.2,16,154995,72841,156198,https://www.vesselfinder.com/vessels/details/9882487
HF WEALTH,22117S,9356799,Container ship,142.72,133.5,22.6,11.2,8.21,9610,4716,12790,https://www.vesselfinder.com/vessels/details/9356799
SONATA,37987S,9316103,LYBN,147.87,140.3,23.25,11.5,8.5,9957,5032,13916,https://www.vesselfinder.com/vessels/details/9316103
IAN H,22934F,9189500,Container ship,264.4,40,24.3,14,6180,66526,67902,278.01,https://www.vesselfinder.com/vessels/details/9189500
CNC VENUS,42699P,9817884,Container ship,172,164,28.39,14.2,9.5,19035,8159,23439,https://www.vesselfinder.com/vessels/details/9817884
MSC SAGITTARIUS F,22336F,9491616,Container ship,139.26,129,22.6,11.8,8.8,9999,4900,11768,https://www.vesselfinder.com/vessels/details/9491616
PANTONIO,43338J,9440576,Container ship,129.66,120.34,20.6,10.8,7.4,7545,3165,8153,https://www.vesselfinder.com/vessels/details/9440576
SEATRADE GREEN,29991B,9810915,Container ship,185,176,30,16.5,10,24876,8935,26573,https://www.vesselfinder.com/vessels/details/9810915
NJORD,23637U,9349227,PDHA,141.58,132.3,20.6,9.5,7.3,7720,3614,9487,https://www.vesselfinder.com/vessels/details/9349227
MORAGA,36322H,9220067,Container ship,158.75,150,25.6,13.7,9.2,14290,4914,14901,https://www.vesselfinder.com/vessels/details/9220067
CMA CGM SAIGON,41929C,9357547,Container ship,175.1,164.9,27.9,13.8,9.53,18123,7996,22314,https://www.vesselfinder.com/vessels/details/9357547
CONTI MAKALU,31122F,9286243,Container ship,334.07,319,42.8,20.23,14.5,90745,55203,101030,https://www.vesselfinder.com/vessels/details/9286243
CMA CGM LOIRE,24318K,9674531,Container ship,299.95,286,48.2,24.6,14.8,96253,39892,112729,https://www.vesselfinder.com/vessels/details/9674531
CONTSHIP MED,38375P,9306249,Cargo / Container ship,147.79,140.3,23.25,11.5,8.5,9957,5032,13872,https://www.vesselfinder.com/vessels/details/9306249
CMA CGM GALAPAGOS,37901Y,9894997,Container ship,366,355.4,51,30.2,16,153907,68860,154222,https://www.vesselfinder.com/vessels/details/9894997
FSL SINGAPORE,35052C,9845037,Container ship,171.9,168.52,24.29,13.6,9.5,16850,8324,23023,https://www.vesselfinder.com/vessels/details/9845037
