NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
YEBA,04441E,9045728,3EBQ2,117.58 m,16.4 m,9.6 m,7.15 m,2467 mm,5458,8026 ton,125.15 m,https://www.vesselfinder.com/vessels/details/9045728
UGUR DADAYLI,14086N,9554145,General cargo ship,93.63 m,84.73 m,14.55 m,6.08 m,1533 mm,2976,1843,4400 ton,https://www.vesselfinder.com/vessels/details/9554145
LIMA VALERIE,43243F,9371983,Multi-purpose cargo ship,110 m,19.7 m,8.5 m,6.45 m,2072 mm,5316,7697 ton,117 m,https://www.vesselfinder.com/vessels/details/9371983
HUNTER 1,30053T,9311892,D5YP5,139.55 m,134 m,16.5 m,6 m,4.6 m,5684,3230,6933 ton,https://www.vesselfinder.com/vessels/details/9311892
ALDONA,941D87,8857083,FGA8805,60.35 m,53.8 m,8.8 m,3.3 m,2.25 m,497,204,395 ton,https://www.vesselfinder.com/vessels/details/8857083
ARKLOW MILL,12642T,9440265,Cargo ship,136.5 m,128.74 m,21 m,11.4 m,8.48 m,9758,5240,15008 ton,https://www.vesselfinder.com/vessels/details/9440265
FLEVOGRACHT,42126R,9509956,General cargo ship,137.07 m,128.94 m,18.9 m,11.65 m,8.52 m,8620,4398,12086 ton,https://www.vesselfinder.com/vessels/details/9509956
KOTA BISTARI,25161B,9695107,General cargo ship,179.5 m,169.5 m,27.2 m,10.5 m,4032 mm,20886,11064,27263 ton,https://www.vesselfinder.com/vessels/details/9695107
SINGELGRACHT,42093F,9197375,PCGM,168.14 m,159.14 m,25.2 m,14.6 m,10.71 m,16641,6700,21402 ton,https://www.vesselfinder.com/vessels/details/9197375
PRIMA LADY,14501P,9195652,OJTT,89 m,84.8 m,12.5 m,7.6 m,5.41 m,2548,1282,3622 ton,https://www.vesselfinder.com/vessels/details/9195652
BBC PERU,32370M,9549592,General cargo ship,146.14 m,136.99 m,20.1 m,11.45 m,8.25 m,9963,4937,13537 ton,https://www.vesselfinder.com/vessels/details/9549592
HAAFJELL,39N940,9148207,LAHX8,83.69 m,13.3 m,7.15 m,5.67 m,1195 mm,2768,3714 ton,89.1 m,https://www.vesselfinder.com/vessels/details/9148207
WESTERN ROCK,27759A,9827554,General cargo ship,92.2 m,84.98 m,14 m,10 m,5 m,2957,887,3152 ton,https://www.vesselfinder.com/vessels/details/9827554
MOONRAY,01497E,9234410,YLOU,88 m,86.32 m,11.4 m,5.4 m,3.7 m,1599,691,2300 ton,https://www.vesselfinder.com/vessels/details/9234410
UNISKY,08237F,9356414,V2BS2,132.2 m,123.04 m,15.87 m,9.65 m,7.73 m,6296,3617,9775 ton,https://www.vesselfinder.com/vessels/details/9356414
OCEANIC,20202L,9624550,General cargo ship,92.2 m,84.99 m,14 m,4.9 m,510 mm,2989,896,3000 ton,https://www.vesselfinder.com/vessels/details/9624550
SEMINOLE,35292N,8890396,General cargo ship,139.2 m,139.2 m,16.5 m,5.5 m,3.77 m,4976,2310,5107 ton,https://www.vesselfinder.com/vessels/details/8890396
NEUSEBORG,07987J,9341756,PHGG,110.78 m,105.48 m,14 m,8.13 m,6.51 m,3990,2208,6665 ton,https://www.vesselfinder.com/vessels/details/9341756
TRUFFALDINO,00221S,9173197,J8B5151,88.95 m,84.95 m,12.4 m,5.65 m,4.62 m,2056,1168,2953 ton,https://www.vesselfinder.com/vessels/details/9173197
NORDIC CRYSTAL,40202A,9931496,General cargo ship,99.99 m,96.04 m,13.35 m,9.05 m,7 m,3442,1919,6458 ton,https://www.vesselfinder.com/vessels/details/9931496
VOLARIS-52,27213G,8624292,V4RG2,140 m,134 m,16.65 m,6.7 m,4.68 m,4911,1776,6277 ton,https://www.vesselfinder.com/vessels/details/8624292
STAR HERDLA,29207Y,9071557,General cargo ship,198 m,187 m,31 m,19 m,12.66 m,32744,13647,32744 ton,https://www.vesselfinder.com/vessels/details/9071557
KRISTIN C,15358V,9523938,General cargo ship,106.07 m,94.5 m,15.5 m,8.14 m,6.75 m,4151,2323,6250 ton,https://www.vesselfinder.com/vessels/details/9523938
EEMS CARRIER,39Y697,9148142,PFHD,84.95 m,80 m,10.7 m,5.35 m,4.13 m,1546,819,2315 ton,https://www.vesselfinder.com/vessels/details/9148142
STAVFJORD,07059A,9321380,PBIZ,107.63 m,14.4 m,8.1 m,6.33 m,1783 mm,4206,2332,113.76 m,https://www.vesselfinder.com/vessels/details/9321380
DANUM 3,00032M,9188843,9MCR2,79.28 m,22.2 m,5 m,3.9 m,1108 mm,2562,768,83.9 m,https://www.vesselfinder.com/vessels/details/9188843
LURÖ,03050S,9263588,PEAE,84.99 m,13.35 m,7.5 m,5.85 m,1655 mm,2556,1406,89 m,https://www.vesselfinder.com/vessels/details/9263588
PENSILVANIA,06879E,9287443,General cargo ship,118.55 m,110.73 m,15.2 m,8.45 m,7 m,4819,2548,7800 ton,https://www.vesselfinder.com/vessels/details/9287443
VIKINGBANK,15402T,9604184,Cargo / Container ship,142.65 m,139.43 m,15.87 m,7.73 m,3071 mm,7367,3688,11940 ton,https://www.vesselfinder.com/vessels/details/9604184
BBC EMSLAND,31463B,9511648,V2QD7,138.62 m,18.25 m,10.3 m,7.36 m,2613 mm,7878,10500 ton,145.51 m,https://www.vesselfinder.com/vessels/details/9511648
