NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
KATTEGAT,39N480,9112765,Passenger ferry,136.4,125.3,24,13.85,6,14379,4313,4418,https://www.vesselfinder.com/vessels/details/9112765
FORMENTERA DIRECT,983J32,8615332,EAHQ,49.45,43.6,14,7.81,2.46,1075,322,138,https://www.vesselfinder.com/vessels/details/8615332
PASSIO PER FORMENTERA,12223N,9465239,ECAC,95.8,17,11.5,4.3,1,6146,1843,101,https://www.vesselfinder.com/vessels/details/9465239
NORDLICHT II,38428W,9921661,High speed craft,46.8,44.8,11,4.4,1.6,827,267,65,https://www.vesselfinder.com/vessels/details/9921661
ISLAND AURORA,33427L,9831763,Roll on - Roll off ship,81.2,74,17,5.7,3.3,2277,683,334,https://www.vesselfinder.com/vessels/details/9831763
SÉBASTIEN VAUBAN,23307L,9696204,Passenger ship,60,12.96,3.3,1.7,1560,1024,238,60,https://www.vesselfinder.com/vessels/details/9696204
RÜM HART,35035J,9866990,Light ship,34.4,32.33,10.5,3,1.5,252,95,25,https://www.vesselfinder.com/vessels/details/9866990
LE BOUGAINVILLE,31624B,9814040,Passenger ship,131.46,118.4,18,18.2,4.7,9988,2996,1336,https://www.vesselfinder.com/vessels/details/9814040
ARTA,31360P,9817638,High speed craft,39,38.7,10,1.26,,390,138,39,https://www.vesselfinder.com/vessels/details/9817638
MIGUEL TORGA,03257S,9283368,Light ship - Fast passenger carrier,49.2,47,12,3.3,1.58,713,213,48,https://www.vesselfinder.com/vessels/details/9283368
FRENCH POLYNESIA MASTER,30379X,9810874,Passenger ship,44.98,38,10,4.21,2.4,498,165,87,https://www.vesselfinder.com/vessels/details/9810874
MYSTAR,37358J,9892690,Passenger / Ro-ro cargo ship,212.1,192.1,30.6,7.1,1312,50629,16011,5936,https://www.vesselfinder.com/vessels/details/9892690
ROMANTIKA,01954B,9237589,Passenger ferry,192.9,170.1,29,15.4,6.6,40803,24202,4500,https://www.vesselfinder.com/vessels/details/9237589
MARTIN I SOLER,10134S,9390367,BALEARIA EUROLINEAS MARITIMAS S.A.,165.3,152.5,25.6,13.8,5.7,24760,7618,9737,https://www.vesselfinder.com/vessels/details/9390367
ABEL MATUTES,11680X,9441130,ECPD,190,187,26,14.5,6.3,29670,9470,10863,https://www.vesselfinder.com/vessels/details/9441130
DAMIAO DE GOES,03255Q,9270098,Light ship - Fast passenger carrier,49.2,47,12.3,3.3,1.5,713,213,48,https://www.vesselfinder.com/vessels/details/9270098
TARIQ IBN ZIYAD,39V142,9109768,Passenger ferry,138,25.2,8.7,6,2214,21659,8826,153.26,https://www.vesselfinder.com/vessels/details/9109768
KANALEN,32928T,9838163,Passenger / Ro-ro cargo ship,45.9,41.33,11.5,3.5,2.2,491,147,150,https://www.vesselfinder.com/vessels/details/9838163
DEUTSCHLAND,34059X,9141807,Passenger ship,175.3,155.8,23,16.2,5.79,22496,8402,3368,https://www.vesselfinder.com/vessels/details/9141807
AERO 1 HIGHSPEED,40813P,9952787,High speed craft,36,34,9.7,3.4,1.1,323,100,24,https://www.vesselfinder.com/vessels/details/9952787
FILIPINAS CEBU,21565S,9048562,Passenger ferry,77.37,72,14,4.9,3.8,2726,1689,522,https://www.vesselfinder.com/vessels/details/9048562
MSC POESIA,07513T,9387073,Passenger ship,269.14,32.2,10.6,7.85,2,92627,64502,293.8,https://www.vesselfinder.com/vessels/details/9387073
MEDITERRANEE,37V785,8705395,FNYF,165.54,150.34,27.4,8.9,6.4,30985,21967,3452,https://www.vesselfinder.com/vessels/details/8705395
QUEEN STAR 5,30177D,9797101,High speed craft,34.85,30.1,6.89,1.19,1.19,279,104,31,https://www.vesselfinder.com/vessels/details/9797101
