NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
COSCO JEDDAH,12E0271,9484352,Container Ship,261.1,247.09,32.25,19.3,11,"40,465","23,892","49,948",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9484352
STONEFISH,94K4366,9106144,General Dry Cargo Ship,164.05,153.7,27.5,14.3,10.65,"16,269","9,476","23,465",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9106144
CMA CGM JACQUES JUNIOR,16A0034,9722716,Container Ship,299.9,286,48.2,25,12.5,"95,680","52,015","110,695",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9722716
HONG AN,21E0109,9941116,Container Ship,171.9,169,28.4,14.5,8.5,"18,724","8,080","24,514",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9941116
XIN SHANGHAI,06K0016,9307231,Container Ship,336.7,321,45.6,27.2,13,"108,069","57,365","111,737",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9307231
KOTA SURIA,15R0182,9681326,Container Ship,228,217,37.3,19.2,11.5,"41,649","22,321","51,791",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9681326
NIMTOFTE MÆRSK,19X0438,9885166,Container Ship,172,168.6,32.2,16.8,8.5,"26,255","8,672","27,550",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9885166
BOSON,03V3047,9266126,Container Ship,171.99,160,27.6,14,8.5,"17,153","7,533","22,078",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9266126
CMA CGM RIVOLI,21X0011,9839193,Container Ship,399.9,393.9,61.3,33.5,14.5,"236,583","101,823","221,195",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9839193
ZHONG GU JI NAN,21J0136,9938872,Container Ship,228,224.5,40,19.6,13.75,"54,466","31,588","87,619",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9938872
COSCO SHIPPING ALPS,18E0002,9757864,Container Ship,366,350.5,51.2,30.2,14,"154,300","84,334","153,679",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9757864
XIN XIN TIAN 1,06L2041,9320025,Container Ship,221.62,209.62,29.8,16.4,10.1,"27,971","13,574","37,786",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9320025
XIN YANG SHAN,05F2008,9310020,Container Ship,263.23,251.4,32.2,19.3,12.8,"41,482","24,001","52,242",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9310020
COSCO SHIPPING CAPRICORN,18D0093,9783514,Container Ship,400,382,58.6,30.7,14,"196,670","92,071","197,087",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9783514
CSCL ASIA,04Q0011,9285976,Container Ship,333.99,319,42.8,24.6,13,"90,645","56,758","101,612",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9285976
OCEAN BLUE WHALE,17L0072,9790139,Passenger Ship/Container Ship,182.72,169.5,25.2,12.1,7.2,"19,480","8,151","11,553",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9790139
COSCO SHIPPING ROSE,18D0162,9785809,Container Ship,366,350,48.2,30.2,13.5,"143,179","84,940","146,714",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9785809
XIN DA YANG ZHOU,09P0012,9337949,Container Ship,335,320.06,42.8,24.8,13,"90,757","57,364","102,418",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9337949
