NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
HONG KUN MEI GUI,11W0581,9594949,Cable Layer,158,148.4,28.2,9,6.2,"11,796","3,538","12,770",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9594949
JING FENG 7,12P0372,9581710,General Dry Cargo Ship,132,123,18.6,8.8,6.5,"6,881","3,246","8,397",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9581710
SINCERENICE 2,17D0663,9865219,"General Dry Cargo Ship, Double Side Skin",99.89,98.14,16,8.4,5.8,"4,506","2,492","6,415",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9865219
NEW SUN,03N1016,9289984,Open-Top Container Ship,49.96,48.6,13,4.75,2.8,897,303,"1,032",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9289984
YUN GANG ZHI XING,11P0160,9620499,General Dry Cargo Ship,158.36,148.7,22.5,13,9,"13,254","6,921","19,425",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9620499
XIN HAI XIU,07J0112,9431484,General Dry Cargo Ship,131.55,122,18.8,9.4,6.9,"6,680","3,190","8,952",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9431484
ZHONG HUA MEN,17L0003,9743320,General Dry Cargo Ship,189.9,186.5,32.26,18.5,11.3,"34,798","17,284","55,374",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9743320
WUI LUNG,12X0219,9645700,General Dry Cargo Ship,140.7,131.8,20,10.8,7.95,"8,896","5,397","13,600",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9645700
DA XIANG,17V0127,9768552,General Dry Cargo Ship,179.67,170.6,28,14.8,9.2,"21,992","9,390","28,577",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9768552
JING HAI SHENG,17Q6263,9801873,"Bulk Carrier, Double Side Skin",102.49,100.74,16,8.4,6.2,"4,260","2,301","6,574",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9801873
