NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
SAGITTARIUS ,100503,9550254,BULK CARRIER ,169.370 ,161.210 , 27.200 , 13.600 ,9.819 ,"17,025 ","10,108 ","28,508 ",https://www.vesselfinder.com/vessels/details/9550254
DUBAI GALACTIC ,074359,9380752,BULK CARRIER ,189.990 ,185.940 , 32.260 , 17.620 ,12.502 ,"30,719 ","18,492 ","55,418 ",https://www.vesselfinder.com/vessels/details/9380752
EVER SUCCESS ,111702,9426130,BULK CARRIER ,189.990 ,185.780 , 32.260 , 18.000 ,12.826 ,"32,309 ","19,458 ","58,086 ",https://www.vesselfinder.com/vessels/details/9426130
ROYAL FUKUYAMA ,132220,9518165,BULK CARRIER ,228.990 ,222.540 , 32.260 , 20.050 ,14.429 ,"43,013 ","27,239 ","82,224 ",https://www.vesselfinder.com/vessels/details/9518165
REIYO ,105517,9568201,BULK CARRIER ,234.880 ,227.180 , 38.000 , 20.000 ,14.228 ,"50,927 ","29,849 ","92,071 ",https://www.vesselfinder.com/vessels/details/9568201
RIN TREASURE ,091338,9515527,BULK/LUMBER CARRIER ,169.370 ,161.210 , 27.200 , 13.600 ,9.819 ,"17,018 ","10,108 ","28,338 ",https://www.vesselfinder.com/vessels/details/9515527
SAGE SAGITTARIUS ,010795,9233545,BULK CARRIER ,234.930 ,228.120 , 43.000 , 25.400 ,15.268 ,"73,427 ","24,641 ","105,708 ",https://www.vesselfinder.com/vessels/details/9233545
UNITED HALO ,120298,9593335,BULK CARRIER ,190.000 ,186.480 , 32.260 , 18.100 ,12.735 ,"31,541 ","18,765 ","55,848 ",https://www.vesselfinder.com/vessels/details/9593335
ATMOSPHERE ,092885,9527283,BULK CARRIER ,224.940 ,217.970 , 32.260 , 19.500 ,14.139 ,"39,737 ","25,754 ","76,606 ",https://www.vesselfinder.com/vessels/details/9527283
ANTHOS ,019405,9217656,BULK CARRIER ,225.000 ,217.400 , 32.200 , 19.150 ,13.841 ,"39,783 ","25,329 ","75,120 ",https://www.vesselfinder.com/vessels/details/9217656
ULTRA SPIRIT ,223203,9933030,BULK CARRIER ,199.980 ,195.400 , 32.240 , 19.300 ,13.526 ,"36,177 ","21,173 ","63,727 ",https://www.vesselfinder.com/vessels/details/9933030
SUZAKU ,063123,9317377,BULK CARRIER ,189.990 ,185.940 , 32.260 , 17.620 ,12.515 ,"31,385 ","17,161 ","54,881 ",https://www.vesselfinder.com/vessels/details/9317377
DOMINATOR ,212552,9894791,BULK CARRIER ,199.980 ,195.400 , 32.240 , 19.300 ,13.526 ,"36,176 ","21,173 ","63,652 ",https://www.vesselfinder.com/vessels/details/9894791
FLOURISH DIVA ,210351,9894284,BULK CARRIER ,229.000 ,226.000 , 32.240 , 20.150 ,14.594 ,"43,461 ","27,565 ","81,934 ",https://www.vesselfinder.com/vessels/details/9894284
SARITA NAREE ,152841,9726413,BULK CARRIER ,199.900 ,194.500 , 32.260 , 18.500 ,13.322 ,"36,416 ","21,225 ","62,964 ",https://www.vesselfinder.com/vessels/details/9726413
SHIN KORYU ,094908,9398149,BULK CARRIER ,299.700 ,295.170 , 50.000 , 25.000 ,18.230 ,"106,367 ","64,038 ","207,991 ",https://www.vesselfinder.com/vessels/details/9398149
UNISON SAGE ,200105,9838448,BULK CARRIER ,199.995 ,197.000 , 32.260 , 18.970 ,13.346 ,"34,896 ","20,791 ","62,497 ",https://www.vesselfinder.com/vessels/details/9838448
SPICA HARMONY ,194121,9832468,BULK CARRIER ,179.990 ,175.770 , 30.000 , 14.630 ,10.339 ,"22,664 ","12,312 ","36,908 ",https://www.vesselfinder.com/vessels/details/9832468
DINA OCEAN ,989412,9177480,BULK/LUMBER CARRIER ,154.380 ,146.130 , 26.000 , 13.350 ,9.733 ,"14,762 ","8,447 ","24,247 ",https://www.vesselfinder.com/vessels/details/9177480
SCORPIOS ISLAND ,222161,9923035,BULK CARRIER ,199.900 ,196.130 , 32.260 , 18.600 ,13.325 ,"35,627 ","21,466 ","63,567 ",https://www.vesselfinder.com/vessels/details/9923035
MIDNIGHT DREAM ,121048,9558191,BULK CARRIER ,291.895 ,286.900 , 45.000 , 24.500 ,18.068 ,"92,152 ",-- ,"180,517 ",https://www.vesselfinder.com/vessels/details/9558191
FAR EASTERN JUPITER ,075445,9442768,BULK CARRIER ,228.990 ,222.540 , 32.260 , 20.030 ,14.429 ,"43,158 ","27,291 ","82,655 ",https://www.vesselfinder.com/vessels/details/9442768
CORESHIP OL ,122514,9473755,BULK/LUMBER CARRIER ,175.530 ,167.760 , 29.400 , 13.700 ,9.640 ,"19,817 ","10,395 ","31,871 ",https://www.vesselfinder.com/vessels/details/9473755
PIONEER FORTUNE ,041882,9312315,BULK/LUMBER CARRIER ,169.260 ,161.210 , 27.200 , 13.600 ,9.778 ,"16,960 ","10,498 ","28,432 ",https://www.vesselfinder.com/vessels/details/9312315
PIONEER ELITE ,030841,9267857,BULK CARRIER ,115.330 ,109.080 , 19.600 , 11.400 ,8.632 ,"7,265 ","4,279 ","12,260 ",https://www.vesselfinder.com/vessels/details/9267857
BUNDU ,039312,9273014,BULK CARRIER ,134.900 ,128.540 , 23.000 , 11.500 ,8.462 ,"9,872 ","5,639 ","16,765 ",https://www.vesselfinder.com/vessels/details/9273014
ABILITY ,212622,9908281,BULK CARRIER ,199.920 ,196.500 , 32.260 , 19.400 ,13.620 ,"36,757 ","21,162 ","64,253 ",https://www.vesselfinder.com/vessels/details/9908281
CAPE SASANQUA ,113507,9603350,BULK CARRIER ,300.000 ,295.000 , 50.000 , 24.700 ,18.225 ,"106,413 ",-- ,"207,745 ",https://www.vesselfinder.com/vessels/details/9603350
NEW COMMANDER ,120659,9610652,BULK CARRIER ,186.400 ,178.930 , 27.800 , 15.600 ,10.998 ,"22,662 ","12,531 ","37,187 ",https://www.vesselfinder.com/vessels/details/9610652
OCEAN STAR ,070371,9310771,BULK CARRIER ,177.000 ,169.450 , 28.400 , 14.250 ,10.019 ,"19,885 ","11,140 ","32,847 ",https://www.vesselfinder.com/vessels/details/9310771
