NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
MUHARREM DADAYLI,13993M,9558581,General cargo ship,148.64,138.94,17.68,10.5,8.57,8601,4918,13449,https://www.vesselfinder.com/vessels/details/9558581
AZOV CONCORD,25341W,9387748,General cargo ship,136.41,18,6,5.1,423,6483,8975,141.19,https://www.vesselfinder.com/vessels/details/9387748
FAZAH-1,40597E,9331593,General cargo ship,119.8,113.5,20.2,9.8,7590,7002,3375,7492,https://www.vesselfinder.com/vessels/details/9331593
PHANTOM,32840X,9226712,General cargo ship,82.49,79.2,12.5,6.7,5.44,2329,1349,4500,https://www.vesselfinder.com/vessels/details/9226712
UAL CASTLE,24353X,9626168,Multi-purpose cargo ship,123.95,121.7,17.4,11.4,8,7227,3124,11183,https://www.vesselfinder.com/vessels/details/9626168
ELISABETH K.,37239E,9879052,PBJG,86.93,84.98,15,7.17,6.35,2999,1731,5160,https://www.vesselfinder.com/vessels/details/9879052
SJW TRANS,980V44,8913875,POMC,88.4,79.93,15,7.5,6.01,2815,1532,4110,https://www.vesselfinder.com/vessels/details/8913875
UAL FORTITUDE,35692X,9402079,Cargo ship,138.07,130,21,11,8,9611,4260,12638,https://www.vesselfinder.com/vessels/details/9402079
TOI CHALLENGER,11236Q,9151515,General cargo ship,164,156,25.6,12.95,8115,15868,5119,21146,https://www.vesselfinder.com/vessels/details/9151515
NACI SELIMOGLU,08887M,9382059,General cargo ship,92,84.4,15,7.5,6.6,2991,1886,5229,https://www.vesselfinder.com/vessels/details/9382059
FIONA B,15838S,9574303,General cargo ship,88.3,83.44,12.9,5.5,1512,2588,1418,3500,https://www.vesselfinder.com/vessels/details/9574303
SYMPHONY SPIRIT,26989N,9735220,General cargo ship,122.5,119.34,17,10.7,7.85,6749,3408,10546,https://www.vesselfinder.com/vessels/details/9735220
DCS AQUILA,44140F,9873010,Deck ship,125.2,26,8,5.65,2366,10758,3227,13074,https://www.vesselfinder.com/vessels/details/9873010
ELISA K.,37240F,9879064,PCNJ,86.93,84.98,15,7.17,6.35,2999,1731,5180,https://www.vesselfinder.com/vessels/details/9879064
DALYA H,37008D,9139127,General cargo ship,100.5,93,16.5,7.5,5.8,3850,1980,4766,https://www.vesselfinder.com/vessels/details/9139127
