NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
SAMIRA,01506P,9240744,General cargo ship,79.99,78.99,10.4,4.8,3.59,1435,718,1700,https://www.vesselfinder.com/vessels/details/9240744
BARGE 8,24306W,8660715,General cargo ship,69.8,67.4,13.4,4.35,3.3,1221,561,2130,https://www.vesselfinder.com/vessels/details/8660715
SWAYDA,27406R,9751705,Deck ship,60.3,14,3.65,2.7,971,929,278,64,https://www.vesselfinder.com/vessels/details/9751705
OHIOBORG,25222S,9423657,PHOL,89.99,84.95,12.58,8,5.3,2528,1053,3650,https://www.vesselfinder.com/vessels/details/9423657
FLUVIUS AXE,39B837,9163623,Cargo ship,89.99,84.99,12.5,6,4.7,2316,1290,3171,https://www.vesselfinder.com/vessels/details/9163623
GT PIKE,24198E,9373278,General cargo ship,84.99,12.5,7,5.42,1597,2545,3850,88.6,https://www.vesselfinder.com/vessels/details/9373278
FIRDEVS,39F128,9100140,Cargo / Container ship,90.2,84.99,13.6,7.2,5.69,2769,1548,4200,https://www.vesselfinder.com/vessels/details/9100140
UNISTAR,15865W,9559901,General cargo ship,132.2,124.56,15.87,9.65,7.78,6351,3617,9688,https://www.vesselfinder.com/vessels/details/9559901
MARIE,10542L,9252929,ONJC,88.47,84.68,11.35,6.4,4.94,2061,1161,2974,https://www.vesselfinder.com/vessels/details/9252929
VICTORIABORG,01913G,9234276,Cargo / Container ship,132.23,124.59,15.87,9.65,8.07,6361,3099,9826,https://www.vesselfinder.com/vessels/details/9234276
BAY PEARL,19759E,9460801,General cargo ship,188.5,184,32.26,17.18,12.14,29847,15882,51703,https://www.vesselfinder.com/vessels/details/9460801
FWN PERFORMER,28958D,9770701,PBRD,124.67,119.22,18,10.7,7.86,6740,3423,10620,https://www.vesselfinder.com/vessels/details/9770701
SUAT KARABEKIR,09440N,9391452,General cargo ship,100.3,90.54,17,8.64,7.4,4179,2111,7208,https://www.vesselfinder.com/vessels/details/9391452
O7 VEGA S,12393X,9484247,General cargo ship,132.2,124.56,15.87,11.16,7.78,6351,3617,9862,https://www.vesselfinder.com/vessels/details/9484247
JARYEH,24840C,9717814,Deck ship,60.3,14,3.65,2.7,971,969,278,64,https://www.vesselfinder.com/vessels/details/9717814
RHOON C,01464T,9226164,PEBL,82.2,79.21,11.3,5.4,4.28,1780,912,2440,https://www.vesselfinder.com/vessels/details/9226164
HESTIA,10015N,9411783,General cargo ship,88.97,84.99,11.8,5.4,1360,2281,1229,3609,https://www.vesselfinder.com/vessels/details/9411783
