NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
BADJI MOKHTAR III,34799C,9827889,Passenger / Ro-ro cargo ship,199.9,183.36,30,9.5,6.7,49939,23948,5587,https://www.vesselfinder.com/vessels/details/9827889
GIL VICENTE,03259U,9283382,Light ship - Fast passenger carrier,47.16,47,11.99,3.28,1.55,713,213,48,https://www.vesselfinder.com/vessels/details/9283382
FERNANDO NAMORA,03258T,9283370,Light ship - Fast passenger carrier,49.2,47.17,12,3.28,1.55,713,213,48,https://www.vesselfinder.com/vessels/details/9283370
QUEEN STAR 8,30179F,9797125,High speed craft,34.85,30.1,6.89,1.19,1.19,279,104,31,https://www.vesselfinder.com/vessels/details/9797125
WORLD EXPLORER,31524S,9835719,Passenger ship,119.88,105.29,19,12.9,4.8,9923,2978,1166,https://www.vesselfinder.com/vessels/details/9835719
SALAMMBO,39L731,9142461,TSMS,162.3,146,25.8,7.7,6.01,17907,5372,5914,https://www.vesselfinder.com/vessels/details/9142461
COUMBA CASTEL,00755X,9099121,Passenger launch,31.55,8,2.7,1.26,1435,157,83,32,https://www.vesselfinder.com/vessels/details/9099121
LITE FERRY 88,37156P,9755529,Passenger / Ro-ro cargo ship,61.56,56.2,20,5,2.5,1150,345,486,https://www.vesselfinder.com/vessels/details/9755529
STAR LEGEND,15375P,9008598,Passenger ship,160.6,139,19,6.6,5.4,12969,4155,1862,https://www.vesselfinder.com/vessels/details/9008598
RUNGHOLT,42855J,9002465,DJAZ,46.2,41.25,12.2,3.27,1.88,1070,353,133,https://www.vesselfinder.com/vessels/details/9002465
MESTRE JAIME FEIJO,35572S,9861732,Passenger / Ro-ro cargo ship,41.2,37.4,10.75,7.63,3.07,738,229,117,https://www.vesselfinder.com/vessels/details/9861732
STARLITE SPRINT 1,37854X,9882695,"STARLITE Ferries, Inc.",40.6,37.99,6.2,2.8,1.57,249,82,23,https://www.vesselfinder.com/vessels/details/9882695
BALTIC PRINCESS,09696R,9354284,Car ferry,212.1,188.64,29,15.41,6.42,48915,30860,6287,https://www.vesselfinder.com/vessels/details/9354284
URANIBORG,19748S,9616125,Passenger / Ro-ro cargo ship,49.95,47,12,4.4,3,1151,345,158,https://www.vesselfinder.com/vessels/details/9616125
MSC MAGNIFICA,12147F,9387085,Passenger ship,293.8,269.14,32.3,7.85,2779,95128,66135,9429,https://www.vesselfinder.com/vessels/details/9387085
FERNANDO PESSOA,04443G,9312626,Catamaran / Passenger carrier,49.2,47.17,11.99,3.28,1.55,713,213,48,https://www.vesselfinder.com/vessels/details/9312626
TIAN SAN CARRIER VI,39V832,8924642,Roll on - Roll off cargo ferry,40.32,14,2.6,2.24,759,369,110,42,https://www.vesselfinder.com/vessels/details/8924642
BLUE STAR DELOS,17223X,9565039,Passenger ferry,145.9,133.5,23.2,13.89,5.9,18663,5906,2767,https://www.vesselfinder.com/vessels/details/9565039
MONTE D'ORO,38E322,8911516,Passenger ferry,134.6,25.7,8.7,6.7,2013,22070,7753,145,https://www.vesselfinder.com/vessels/details/8911516
ANTERO DE QUENTAL,04444H,9312638,Light ship - Fast passenger carrier,49.2,47.17,11.99,3.28,1.55,713,213,48,https://www.vesselfinder.com/vessels/details/9312638
QUEEN STAR 1,15706Y,9571014,High speed craft,37,7.4,2.6,1.2,1404,281,105,31.46,https://www.vesselfinder.com/vessels/details/9571014
STAR BREEZE,15377R,8807997,Passenger ship,159,139,19,5.4,1605,12969,4155,1818,https://www.vesselfinder.com/vessels/details/8807997
KALELARGA,42262P,9980526,High speed craft,39,38.7,10,3.25,1.25,397,139,39,https://www.vesselfinder.com/vessels/details/9980526
MERBAU ERA,31527V,9133680,Light ship - Fast passenger carrier,35,31.75,7.4,2.94,1.25,240,72,70,https://www.vesselfinder.com/vessels/details/9133680
ENG HUP ARVA,35754Q,9874375,Light ship - Fast passenger carrier,32,31,7,3.21,1.2,258,90,33,https://www.vesselfinder.com/vessels/details/9874375
MSC ORCHESTRA,06853B,9320099,Passenger ship,269.14,32.2,10.6,7.85,2,92409,64360,293.8,https://www.vesselfinder.com/vessels/details/9320099
YOUR WISDOM,34693M,9848388,High speed craft,39,38.7,10,3.25,1.26,390,138,39,https://www.vesselfinder.com/vessels/details/9848388
WORLD TRAVELLER,38468Q,9904807,Passenger ship,126,113.19,19,12.9,4.8,9930,2980,1166,https://www.vesselfinder.com/vessels/details/9904807
SYLVIA EARLE,36870D,9872327,Passenger ship,104.4,100.21,18.4,7.25,5.3,8076,2422,1578,https://www.vesselfinder.com/vessels/details/9872327
ISLAND SKY,06854C,8802894,Passenger ship,90.6,78.78,15.3,5.85,4.25,4200,1286,695,https://www.vesselfinder.com/vessels/details/8802894
HEBRIDEAN SKY,06855D,8802882,Passenger ship,90.6,80.15,15.3,5.85,4.25,4200,1286,551,https://www.vesselfinder.com/vessels/details/8802882
AQUA JEWEL,00504A,8976671,Passenger ferry,96,81.6,16.6,7.65,3.6,3040,2022,461,https://www.vesselfinder.com/vessels/details/8976671
