NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
TYPHOON,14154M,9507582,Liquefied gas carrier,99.95,97.96,14,3.27,2339,2410,723,1966,https://www.vesselfinder.com/vessels/details/9507582
KEMAL KA,14967V,9493377,Oil tanker / Chemical tanker,137.76,129.5,20.8,10.8,8.1,8705,4272,13581,https://www.vesselfinder.com/vessels/details/9493377
STENA CLEAR SKY,13489P,9413327,Liquefied gas carrier,298,279,45.8,26.5,12.9,109949,34378,96811,https://www.vesselfinder.com/vessels/details/9413327
MARINE YANGTZE,40134B,9884954,Oil tanker,90.6,84,17.5,9,7,3965,1825,6685,https://www.vesselfinder.com/vessels/details/9884954
JUPITER,28285W,9185487,Chemical tanker,182,174,32.2,17.81,12.67,27185,14085,48338,https://www.vesselfinder.com/vessels/details/9185487
SERI BALHAF,09164N,9331660,Liquefied gas carrier,294.6,270.93,46.5,25.8,12.4,107633,32289,91201,https://www.vesselfinder.com/vessels/details/9331660
BASAT,11476B,9447029,Oil tanker / Chemical tanker,131.85,124.21,18.9,7.97,2226,7260,3652,10745,https://www.vesselfinder.com/vessels/details/9447029
LAUSU,04988Y,9241827,Oil tanker / Chemical tanker,175.97,168,31,17.2,11.11,25382,9929,40083,https://www.vesselfinder.com/vessels/details/9241827
LNG FINIMA II,25143G,9690145,Liquefied gas carrier,292,280,47.8,26.2,11.65,116568,34970,86867,https://www.vesselfinder.com/vessels/details/9690145
AEGEAN VIII,26307W,8817576,Oil tanker,79.95,74.9,14.5,6.6,5.6,1930,731,3144,https://www.vesselfinder.com/vessels/details/8817576
KEMPTON,00956R,9229142,Liquefied gas carrier,99.97,95.5,19,8.37,5.91,5246,1573,4999,https://www.vesselfinder.com/vessels/details/9229142
VARUNA,03753G,9269934,Oil tanker / Chemical tanker,107.45,100.27,16,7.25,9.8,3981,1786,5468,https://www.vesselfinder.com/vessels/details/9269934
DONG A STAR,08517K,9333125,XVKW,118.14,111.06,18.8,9.7,7.2,5776,2640,8636,https://www.vesselfinder.com/vessels/details/9333125
