NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
LPG MARIA,19866V,9228253,Liquefied gas carrier,112.5,18.2,8.4,6.46,1971,5764,6634,119.29,https://www.vesselfinder.com/vessels/details/9228253
SEA LIGHT,27294U,9428023,Oil tanker / Chemical tanker,120,113.29,20.4,11.9,8.66,8247,3725,12948,https://www.vesselfinder.com/vessels/details/9428023
COMMITMENT,33575W,9834882,Oil tanker,46,42.75,12,4.7,3.6,707,212,861,https://www.vesselfinder.com/vessels/details/9834882
SAN REMO,33370Y,9396725,Oil tanker / Chemical tanker,174,32.2,19.1,13.02,6113,30040,50760,183,https://www.vesselfinder.com/vessels/details/9396725
HELENA KOSAN,08390W,9342396,Liquefied gas carrier,115,107.81,18.6,10.6,7.4,7465,2239,8555,https://www.vesselfinder.com/vessels/details/9342396
JM SUTERA 1,11794W,9434084,Oil tanker / Chemical tanker,104.99,99.73,19.05,9.9,6.7,5532,1996,7299,https://www.vesselfinder.com/vessels/details/9434084
ASIA,38892B,9905318,Oil tanker,274,268.8,50,23.2,17.15,86628,54035,163111,https://www.vesselfinder.com/vessels/details/9905318
DAPHNE V,41208T,9321677,Oil tanker,248.99,239,43.89,21,21,61653,33304,109999,https://www.vesselfinder.com/vessels/details/9321677
LNG SCHNEEWEISSCHEN,30410G,9771913,Liquefied gas carrier,297.9,291.5,47.9,26.5,12.5,119660,35898,98747,https://www.vesselfinder.com/vessels/details/9771913
GAS LEADER,39426G,9114581,Liquefied gas carrier,221.65,36.6,20.4,10.6,9615,44574,49743,230,https://www.vesselfinder.com/vessels/details/9114581
SAMUS SWAN,25510F,9401312,Oil tanker / Chemical tanker,105.5,99.35,16.8,7.4,6.28,4001,1837,5717,https://www.vesselfinder.com/vessels/details/9401312
VITALITY,32887Y,9639373,Oil tanker,88.9,83.5,17.3,9.61,7.21,3828,1765,5702,https://www.vesselfinder.com/vessels/details/9639373
ERIETTA LATSI,39852U,9923499,Oil tanker,330,324,60,29.7,21.7,154792,106095,299999,https://www.vesselfinder.com/vessels/details/9923499
SKUTEVIKEN,30634A,9803651,Oil tanker,130,122.5,20.4,12.5,8.6,9385,3658,12650,https://www.vesselfinder.com/vessels/details/9803651
ZUGA,19872C,9405784,Oil tanker / Chemical tanker,94,18,9.6,6,2811,4602,1668,6433,https://www.vesselfinder.com/vessels/details/9405784
THERESA ORION,22532T,9401386,Oil tanker / Chemical tanker,120,20,11.2,8.77,3812,7745,13000,128.72,https://www.vesselfinder.com/vessels/details/9401386
SA HORIZON,01740T,9233272,Special service,332.95,321.34,60,29.55,21.1,159456,95323,298412,https://www.vesselfinder.com/vessels/details/9233272
YM EARTH,06871V,9322633,Oil tanker / Chemical tanker,105.5,98.41,16.8,6.29,1120,4022,1819,5758,https://www.vesselfinder.com/vessels/details/9322633
SOLAR MADELEIN,37067S,9882413,Oil tanker / Chemical tanker,183,175.15,32.2,19.1,13.32,29591,13881,49990,https://www.vesselfinder.com/vessels/details/9882413
STELLA KOSAN,16845M,9373591,Liquefied gas carrier,112.44,19.8,11.21,8.8,2412,9175,10316,120.36,https://www.vesselfinder.com/vessels/details/9373591
GAS AGILITY,35152L,9850680,Liquefied gas carrier,135.5,131,24.5,16,6.8,17645,5293,9457,https://www.vesselfinder.com/vessels/details/9850680
AEGEAN TIFFANY,22862C,9314478,Oil tanker / Product tanker,81.53,75.6,12.5,6.3,4.57,1823,865,2747,https://www.vesselfinder.com/vessels/details/9314478
SOUDA,14566K,9531430,Oil tanker / Chemical tanker,88.22,82.5,13,5.75,1311,2336,1038,3465,https://www.vesselfinder.com/vessels/details/9531430
MARIANNE,02864Q,9245794,Oil tanker,332.94,321.34,60,29.55,21.1,159456,95323,298287,https://www.vesselfinder.com/vessels/details/9245794
EVO,21286P,9636694,Oil tanker / Chemical tanker,183,174,32.2,19.1,13.06,30087,13371,50044,https://www.vesselfinder.com/vessels/details/9636694
NIMBUS,09461L,9410507,SBFC,119.1,110.97,16.9,8.4,6.76,4883,2294,6927,https://www.vesselfinder.com/vessels/details/9410507
SANGGAU,27466G,9746059,Oil tanker,183,175.5,32.5,17.1,11,27286,11023,40648,https://www.vesselfinder.com/vessels/details/9746059
THUN GOTHENBURG,08543N,9362140,PCRW,119.1,110.97,16.9,8.4,6.74,4859,2289,6874,https://www.vesselfinder.com/vessels/details/9362140
JM SUTERA 9,37096Y,9892468,Oil tanker,118.2,113,19.8,10.35,7,6976,2683,9338,https://www.vesselfinder.com/vessels/details/9892468
AL-QURNA,27381P,9779161,Oil tanker,79.95,75.47,13.5,5,1309,1959,898,2500,https://www.vesselfinder.com/vessels/details/9779161
ASIA EVERGREEN,11626P,9430703,Chemical tanker,146,137.2,22,10.8,7.94,9366,4626,14000,https://www.vesselfinder.com/vessels/details/9430703
ROXANA TRADER,08582F,9452749,Oil tanker,90.38,83.16,13.8,7.28,6,2526,1288,4000,https://www.vesselfinder.com/vessels/details/9452749
EL GOUFI,30911B,9912115,Oil tanker,87,82,13.6,5.9,4.5,2329,748,2458,https://www.vesselfinder.com/vessels/details/9912115
SK LINE 1,33735V,9705940,Chemical tanker,91,87,21,6.3,4.5,3200,1497,5641,https://www.vesselfinder.com/vessels/details/9705940
