NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
YUAN XIN HAI,09W0180,9558086,Bulk Carrier,292,282,45,24.8,16.5,"91,205","59,001","178,076",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9558086
MEI HUA HAI,13H0003,9620530,Bulk Carrier,254,249.8,43,20.8,12.2,"64,654","37,347","115,198",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9620530
NEA IONIA,09L0377,9425461,Bulk Carrier,287.5,279,45,24.1,17.7,"88,397","57,037","169,056",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9425461
PENG XIANG ZHOU,18F0509,9646613,Bulk Carrier,224.9,217,32.25,19.7,12.2,"41,605","26,095","75,054",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9646613
SPRING WEALTH,11J0385,9603518,Bulk Carrier,229.2,222,38,20.7,12.5,"51,265","31,203","93,347",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9603518
ENJOY HARMONY,07D0337,9321926,Bulk Carrier,225,216.2,32.24,19.7,14.22,"40,914","23,665","11,842",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9321926
YUE DIAN 53,10E0077,9475545,Bulk Carrier,189.99,185,32.26,18,11.3,"32,911","19,156","56,970",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9475545
SHI DAI 1,07S0120,9352949,Bulk Carrier,225,217,32.26,19.6,12.2,"40,892","25,841","76,611",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9352949
GREAT FAITH,18K0053,9792905,Bulk Carrier,179.95,177,32,15,9.5,"25,711","13,058","38,629",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9792905
CHANG AN CHENG,17D0180,9742998,General Dry Cargo Ship/Bulk Carrier,179.95,177,32,15,9.5,"25,769","13,058","37,971",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9742998
YUE GUAN FENG,10N0223,9523158,Bulk Carrier,225,217,32.26,19.6,12.2,"40,913","25,963","75,581",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9523158
HUA LE 3,11V0097,9618068,"Bulk Carrier, Double Side Skin",134.2,126,18.6,10.1,7.4,"7,492","3,813","10,851",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9618068
JIN ZHU HAI,09U0040,9494383,Bulk Carrier,225,217,32.26,19.6,12.2,"40,896","25,825","76,450",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9494383
PACIFIC VISTA,12R0006,9568914,Bulk Carrier,295,285,46,24.8,16.5,"94,710","59,527","180,329",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9568914
SHAN GANG CHANG LONG 17,01E2056,9238234,Bulk Carrier,189.99,182,32.26,17,11.03,"29,885","18,011","52,551",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9238234
JY PACIFIC,18U0407,9845271,Bulk Carrier,229,225.5,32.26,20.05,12.2,"44,103","27,297","81,138",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9845271
TAI HANG 3,97W2023,9128257,Bulk Carrier,224.98,216,32.24,19.1,12.2,"38,520","24,567","73,049",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9128257
BAI AN HAI,08J0140,9395197,Bulk Carrier,292,282,45,24.8,16.5,"91,205","59,001","178,022",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9395197
BUZLUDJA,19L0680,9835783,Bulk Carrier,190,186.61,31.84,16,9.76,"29,076","14,407","45,516",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9835783
