NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
JJ TOKYO,95W2036,9102526,Container Ship,135.2,124.55,20.8,10.5,7.72,"7,998","3,956","11,064",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9102526
CSCL AUTUMN,14M0035,9645891,Container Ship,335,319,48.6,27.2,14,"116,568","73,511","121,270",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9645891
CSCL STAR,11X0421,9466867,Container Ship,366.07,350,51.2,29.9,14.5,"151,993","80,514","155,470",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9466867
MILD CHORUS,14W0044,9666845,Container Ship,147.9,139.6,23.25,11.5,7.3,"9,994","5,122","13,294",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9666845
MERATUS WAKATOBI,19E8011,9849227,Open-Top Container Ship,146,142.2,23.25,10.5,6.5,"11,512","4,427","13,227",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9849227
CMA CGM ESTELLE,18Y0043,9729116,Container Ship,299.87,283.52,48.2,24.8,12.5,"96,223","52,975","109,794",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9729116
SHI SHANG 18,97F2031,9137557,Container Ship,193.03,181,28,14,9.18,"18,504","8,959","24,669",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9137557
ZI YU LAN,95Q3019,9086899,Passenger/Container Ship,150.07,137.5,24,13.2,7.16,"16,071","5,295","6,512",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9086899
XIN OU ZHOU,07D0130,9337913,Container Ship,335,320.06,42.8,24.8,13,"90,757","57,364","102,461",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9337913
COSCO ASHDOD,13R0103,9518335,Container Ship,261.1,247.09,32.25,19.3,11,"40,465","23,892","49,956",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9518335
HAI SU 7,06Q2045,9339014,Container Ship,129.58,120.34,20.6,10.8,7.4,"7,545","3,165","8,241",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9339014
JJ STAR,06F4037,9324966,Container Ship,147.87,140.3,23.25,11.5,8.51,"9,957","5,032","13,776",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9324966
ZHONG AN XIN HUA YUAN,03G6093,9252242,Container Ship,265.98,251.7,32.2,19.3,12,"41,834","27,093","57,197",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9252242
TIAN QING HE,10S0089,9437555,Container Ship,294,284.16,32.2,21.8,12,"54,005","32,333","63,259",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9437555
COSCO SHIPPING GALAXY,19A0003,9795634,Container Ship,399.9,386.23,58.6,33.5,14.5,"215,553","130,371","198,070",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9795634
NINGBO TRADER,06B3044,9347968,Container Ship,147.78,140.3,23.25,11.5,7.3,"9,948","5,020","13,770",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9347968
WAN HAI 315,06W0142,9302695,Container Ship,213,202.1,32.2,16.5,10.5,"27,800","12,621","32,953",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9302695
WAN FU DA,97S3353,9134505,Container Ship,205.5,195,27.4,15.8,8.8,"24,053","12,958","28,293",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9134505
COSCO SHIPPING DENALI,18J0006,9757876,Container Ship,366,350.5,51.2,30.2,14,"154,300","84,334","153,949",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9757876
ZHONG GU HANG ZHOU,21L0138,9938896,Container Ship,228,224.5,40,19.6,13.75,"54,466","31,588","87,721",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9938896
