NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
GLORY STAR,04U0061,9294757,"General Dry Cargo Ship, Double Side Skin",109.5,102,16.6,8.7,6.75,"4,562","2,166","6,723",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9294757
YONG XING,20L0455,9930911,General Dry Cargo Ship,199.9,196.5,32.26,19.3,11.3,"39,433","19,469","61,250",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9930911
QI LIN SONG,10N0154,9416771,General Dry Cargo Ship/Container Ship,179.5,169.5,27.2,14.5,10.2,"20,619","11,482","27,307",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9416771
LE YI,00Y2000,9192662,General Dry Cargo Ship,182.67,174,26.2,14.7,10,"19,955","9,412","29,474",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9192662
TONG MAO 5,08C0157,9532422,General Dry Cargo Ship,99.92,92.5,16.2,8,6.28,"3,770","1,960","5,716",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9532422
XING FU SONG,12A0290,9608958,General Dry Cargo Ship/Container Ship,179.5,169.5,27.2,14.5,10.2,"20,684","11,468","27,292",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9608958
TIAN EN,17K0186,9774587,General Dry Cargo Ship,189.99,186.4,28.5,15.8,11,"26,787","11,415","37,125",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9774587
ICON HOSEA VI 6,21Y0150,9982158,Bulk Carrier/Container Ship,119.9,117.5,22.8,7.3,5.2,"7,028","3,935","9,002",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9982158
TIAN JIAN,16J0157,9722754,"General Dry Cargo Ship, Double Side Skin",189.99,187,28.5,15.8,11,"26,770","11,416","37,979",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9722754
DA ZHI,14T0179,9608439,General Dry Cargo Ship,179.57,170,28,14.8,9.2,"21,828","9,495","29,496",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9608439
YU SHUN,12H0021,9632076,General Dry Cargo Ship,87.33,80,14,8.5,6,"2,690","1,435","3,595",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9632076
DA HONG XIA,12J0114,9451355,General Dry Cargo Ship,166.5,158.32,27.4,14.2,8.5,"20,454","9,908","28,377",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9451355
DA ZI YUN,10S0020,9451305,General Dry Cargo Ship,166.5,158.32,27.4,14.2,8.5,"20,949","10,345","28,451",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9451305
FALKENBERG,08Q0169,9520508,General Dry Cargo Ship,117,110,19.7,8.5,6.45,"5,338","2,309","7,709",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9520508
