NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ORIENTAL PEARL VIII,16R0141,9759202,RO-RO Passenger Ship,185,171,25.8,15,6.3,"24,748","12,256","6,972",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9759202
XIN HAI CHI,19L0565,9908633,Catamaran HSC,42.55,39.76,10.6,3.65,1.2,547,168,35,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9908633
SHI ZI YANG 7,17L0026,9818383,Catamaran HSC,41.9,38.4,9.5,3.2,1.2,387,122,40,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9818383
HAI TANG ZHI XING 1 HAO,17W0105,9821689,Catamaran HSC,40.45,39.45,10,3.4,1.24,410,205,40,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9821689
PENG XING 30,18T0475,9870070,Catamaran HSC,35.6,34.98,8.2,3.42,1.31,255,76,21,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9870070
MING ZHU HU,19V0390,9887231,Catamaran HSC,42.8,41.9,10.8,3.65,1.3,533,172,42,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9887231
PENG XING 15,14J0101,9715294,Catamaran HSC,40,37.53,9,3.4,1.25,338,110,39,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9715294
MEI ZHU HU,17T0033,9812640,Catamaran HSC,40.8,39.9,10.8,3.65,1.23,499,160,34,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9812640
XIN WU YUAN,16E0084,9793882,Catamaran HSC,42.3,39.54,10,3.4,1.33,470,235,47,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9793882
XIN SHI SU 1,19V0137,9889887,Catamaran HSC,39.77,37.55,9,3.4,1.31,362,116,31,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9889887
NAN HAI ZHI MENG,11E0312,9520285,RO-RO Passenger Ship,169.5,155,25.2,7.9,5.95,"24,629","13,299","5,995",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9520285
ZHONG SHAN 26,17V0656,9840570,Catamaran HSC,42.8,41.9,10.8,3.65,1.3,469,234,33,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9840570
PENG XING 18,15K0038,9730567,Catamaran HSC,40,37.53,9,3.4,1.25,338,110,37,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9730567
