NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
STRATOS AURORA,05G0100,9288708,"Oil Tanker, Double Hull",250,239,44,21,13.6,"62,320","33,887","111,006",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9288708
NAN LIN WAN,17C0064,9783411,"Oil Tanker, Double Hull",249.98,245.4,44,21.5,13.7,"64,572","33,866","109,700",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9783411
XIN AO PU TUO HAO,19U0412,9870628,LNG Carrier,119.3,116.1,19.8,11,5.9,"9,432","2,829","6,252",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9870628
BITUMAX,08Q0123,9509334,"Asphalt Carrier(Integral Tank,Maximum Cargo Temperature≤180℃)/Oil Tanker, Double Hull",101.9,96,16,8,5.91,"3,691","1,255","4,999",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9509334
SHENG HANG HUA 9,08B0133,9485576,"Chemical/Oil Tanker, Double Hull",120.11,112,18,9,6.6,"5,612","2,538","8,131",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9485576
SHAN YI,12H0205,9646388,"Chemical/Oil Tanker, Double Hull",109.85,103.9,17.5,8,6,"4,498","2,000","6,929",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9646388
BAO HAI TUN,06L3007,9400227,"Chemical/Oil Tanker, Double Hull",95.8,88,15.2,7.2,5.1,"2,984","1,175","3,845",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9400227
A STAR,99K2022,9159816,"Asphalt Carrier(Independent Tank,Maximum Cargo Temperature≤180℃)/Oil Tanker",135.48,126,21.4,11.8,8.1,"9,020","2,706","10,767",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9159816
YUAN ZHANG HU,18R0450,9846017,"Oil Tanker, Double Hull",224.9,220.4,35,18,11.2,"39,828","18,901","64,824",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9846017
NEW VISTA,11T0141,9458614,"Oil Tanker, Double Hull",330,316,60,29.7,19.2,"157,039","99,043","297,253",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9458614
