NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
PETRA ,113322,9597630,BULK CARRIER ,179.990 ,172.320 , 28.200 , 14.300 ,10.101 ,"21,192 ","11,615 ","33,688 ",https://www.vesselfinder.com/vessels/details/9597630
KOBE STAR ,160116,9748722,BULK CARRIER ,189.990 ,185.960 , 32.260 , 17.870 ,12.568 ,"31,873 ","16,746 ","55,857 ",https://www.vesselfinder.com/vessels/details/9748722
GULF ,009269,8937352,GENERAL CARGO ,96.300 ,92.150 , 13.400 , 6.700 ,5.562 ,"2,914 ","1,311 ","4,325 ",https://www.vesselfinder.com/vessels/details/8937352
VIEN DONG 3 ,041582,9318670,GENERAL CARGO ,102.790 ,102.790 , 17.000 , 8.800 ,6.957 ,"4,095 ","2,448 ","6,523 ",https://www.vesselfinder.com/vessels/details/9318670
RUBYMAR ,970187,9138898,BULK/LUMBER CARRIER ,171.600 ,164.310 , 27.000 , 14.800 ,10.421 ,"19,420 ","10,676 ","32,211 ",https://www.vesselfinder.com/vessels/details/9138898
MUTSU ,062742,9355070,GENERAL CARGO ,132.530 ,126.910 , 21.000 , 13.000 ,8.328 ,"10,457 ","4,781 ","13,717 ",https://www.vesselfinder.com/vessels/details/9355070
NEPTUNE ISLAND ,120534,9544140,GENERAL CARGO ,184.750 ,178.810 , 30.600 , 14.500 ,10.020 ,"23,950 ","11,814 ","38,191 ",https://www.vesselfinder.com/vessels/details/9544140
HERAKLITOS ,111739,9422794,BULK CARRIER ,177.850 ,170.580 , 28.600 , 15.000 ,10.869 ,"22,863 ","12,519 ","37,221 ",https://www.vesselfinder.com/vessels/details/9422794
IYO ,043280,9300879,MULTI-PURPOSE CARGO ,149.530 ,139.300 , 24.000 , 14.200 ,9.630 ,"13,694 ","6,537 ","19,946 ",https://www.vesselfinder.com/vessels/details/9300879
SUN BRAVE ,152993,9754977,GENERAL CARGO ,127.670 ,121.190 , 19.600 , 14.500 ,9.446 ,"9,976 ","4,459 ","14,262 ",https://www.vesselfinder.com/vessels/details/9754977
RYOTOKU MARU ,179186,9805049,GENERAL CARGO ,74.000 ,71.240 , 13.000 , 7.300 ,4.416 ,720 ,-- ,"2,300 ",https://www.vesselfinder.com/vessels/details/9805049
SOLID LINK ,861321,8510635,GENERAL CARGO ,100.250 ,92.570 , 17.500 , 10.500 ,-- ,"4,769 ","2,282 ",-- ,https://www.vesselfinder.com/vessels/details/8510635
GOZDE BAYRAKTAR ,098304,9398632,GENERAL CARGO ,156.650 ,148.180 , 24.700 , 14.300 ,10.745 ,"15,479 ","7,600 ","21,417 ",https://www.vesselfinder.com/vessels/details/9398632
HALIM M ,870937,8606109,GENERAL CARGO ,125.000 ,125.000 , 20.000 , 11.800 ,-- ,"8,195 ","3,411 ",-- ,https://www.vesselfinder.com/vessels/details/8606109
MATSU ARROW ,142826,9687083,BULK CARRIER ,189.990 ,185.960 , 32.260 , 17.870 ,12.568 ,"31,864 ","16,746 ","55,975 ",https://www.vesselfinder.com/vessels/details/9687083
NANIWA ,134721,9675327,GENERAL CARGO ,130.730 ,124.040 , 19.600 , 13.400 ,7.977 ,"9,467 ","3,576 ","12,144 ",https://www.vesselfinder.com/vessels/details/9675327
SINGAPORE SPIRIT ,029245,9246308,GENERAL CARGO ,171.590 ,164.330 , 27.000 , 14.800 ,10.569 ,"19,882 ","10,780 ","32,259 ",https://www.vesselfinder.com/vessels/details/9246308
DERYOUNG SPACE ,194343,9878943,GENERAL CARGO ,119.220 ,113.840 , 21.000 , 14.000 ,8.315 ,"9,878 ","3,415 ","12,076 ",https://www.vesselfinder.com/vessels/details/9878943
IRIDA GS ,131346,9614311,GENERAL CARGO ,181.160 ,173.450 , 28.400 , 14.250 ,10.034 ,"20,992 ","11,228 ","32,836 ",https://www.vesselfinder.com/vessels/details/9614311
ORIENTAL JETTY ,200557,9864875,BULK CARRIER ,137.030 ,130.160 , 23.000 , 12.300 ,8.498 ,"11,289 ","5,116 ","16,939 ",https://www.vesselfinder.com/vessels/details/9864875
STEADY SARAH ,112710,9604847,GENERAL CARGO ,183.000 ,175.930 , 29.500 , 15.000 ,10.366 ,"24,020 ","12,015 ","38,468 ",https://www.vesselfinder.com/vessels/details/9604847
MSC CALEDONIA II ,029236,9262546,GENERAL CARGO ,188.300 ,178.300 , 27.680 , 15.490 ,11.300 ,"24,918 ","12,565 ","35,079 ",https://www.vesselfinder.com/vessels/details/9262546
KEFALONIA ,090832,9449780,BULK CARRIER ,169.540 ,161.350 , 27.200 , 13.800 ,9.764 ,"18,096 ","9,649 ","28,742 ",https://www.vesselfinder.com/vessels/details/9449780
PACIFIC HORSE ,140112,9694878,GENERAL CARGO ,120.930 ,114.000 , 19.600 , 10.500 ,7.931 ,"7,193 ","4,418 ","11,401 ",https://www.vesselfinder.com/vessels/details/9694878
VAFAA M ,972316,9162409,BULK CARRIER ,159.920 ,150.750 , 26.000 , 13.500 ,9.801 ,"15,660 ","8,745 ","25,008 ",https://www.vesselfinder.com/vessels/details/9162409
CREST CRANE ,080783,9473511,GENERAL CARGO ,104.830 ,97.770 , 20.000 , 13.800 ,8.216 ,"7,727 ","2,819 ","9,045 ",https://www.vesselfinder.com/vessels/details/9473511
BLUE SAPPHIRE ,202864,9877339,BULK CARRIER ,179.990 ,176.850 , 30.000 , 15.000 ,10.479 ,"23,703 ","12,229 ","38,580 ",https://www.vesselfinder.com/vessels/details/9877339
MOSTEIN ,969695,9100176,GENERAL CARGO ,89.900 ,89.900 , 13.170 , 7.150 ,6.309 ,"2,744 ","1,590 ","4,836 ",https://www.vesselfinder.com/vessels/details/9100176
PROPEL PASSION ,110370,9473676,BULK CARRIER ,179.990 ,172.320 , 28.200 , 14.300 ,10.101 ,"21,192 ","11,615 ","33,686 ",https://www.vesselfinder.com/vessels/details/9473676
GLORY PIONEER ,142535,9700237,GENERAL CARGO ,103.630 ,97.320 , 18.800 , 13.000 ,8.527 ,"6,460 ","2,820 ","8,777 ",https://www.vesselfinder.com/vessels/details/9700237
GRAND TAJIMA ONE ,063062,9347138,GENERAL CARGO ,119.990 ,112.900 , 21.200 , 14.300 ,8.816 ,"9,593 ","4,062 ","12,922 ",https://www.vesselfinder.com/vessels/details/9347138
LOTUS ,999400,9193525,GENERAL CARGO ,136.430 ,125.200 , 20.500 , 10.700 ,-- ,"8,326 ","5,402 ","9,389 ",https://www.vesselfinder.com/vessels/details/9193525
SISKIN ARROW ,140389,9607095,GENERAL CARGO ,210.000 ,203.110 , 36.000 , 20.200 ,13.835 ,"46,295 ","21,763 ","72,927 ",https://www.vesselfinder.com/vessels/details/9607095
NANBU ,134185,9675315,GENERAL CARGO ,130.730 ,124.040 , 19.600 , 13.400 ,7.977 ,"9,467 ","3,576 ","12,137 ",https://www.vesselfinder.com/vessels/details/9675315
DERYOUNG SUNNYSKY ,153901,9760914,GENERAL CARGO ,116.950 ,110.630 , 19.600 , 14.000 ,8.655 ,"8,808 ","3,517 ","11,225 ",https://www.vesselfinder.com/vessels/details/9760914
ANTARI ,989634,9171084,GENERAL CARGO ,87.970 ,82.100 , 12.800 , 7.100 ,-- ,"2,446 ","1,369 ","3,700 ",https://www.vesselfinder.com/vessels/details/9171084
CETUS MINKE ,118390,9633836,GENERAL CARGO ,112.210 ,103.880 , 19.000 , 11.500 ,7.616 ,"6,981 ","2,892 ","8,499.653 ",https://www.vesselfinder.com/vessels/details/9633836
ASAKAZE ,140219,9691187,GENERAL CARGO ,120.930 ,114.000 , 19.600 , 10.500 ,7.931 ,"7,193 ","4,418 ","11,382 ",https://www.vesselfinder.com/vessels/details/9691187
BBC EAGLE ,089651,9407574,GENERAL CARGO ,139.000 ,133.360 , 20.000 , 11.300 ,7.715 ,"8,750 ","3,859 ","10,340 ",https://www.vesselfinder.com/vessels/details/9407574
URIZUN ,132423,9665906,GENERAL CARGO ,109.010 ,104.000 , 14.800 , 8.590 ,4.922 ,"1,565 ",-- ,"2,482 ",https://www.vesselfinder.com/vessels/details/9665906
HAN YI ,989430,9148116,GENERAL CARGO ,138.040 ,128.520 , 22.800 , 12.950 ,9.513 ,"10,990 ","5,041 ","15,635 ",https://www.vesselfinder.com/vessels/details/9148116
BONAS ,101496,9401972,BULK CARRIER ,188.500 ,184.130 , 32.260 , 17.150 ,12.109 ,"29,841 ","15,810 ","51,687 ",https://www.vesselfinder.com/vessels/details/9401972
BBC EDGE ,099763,9407598,GENERAL CARGO ,139.030 ,133.360 , 20.000 , 11.300 ,7.715 ,"8,750 ","3,859 ","10,323 ",https://www.vesselfinder.com/vessels/details/9407598
SEEDIQ BENEFIT ,211323,9894296,BULK CARRIER ,137.030 ,130.160 , 23.000 , 12.300 ,8.498 ,"11,289 ","5,116 ","16,920 ",https://www.vesselfinder.com/vessels/details/9894296
ECE S ,989361,9183489,GENERAL CARGO ,100.900 ,95.290 , 16.400 , 8.000 ,6.797 ,"3,862 ","1,953 ","5,773 ",https://www.vesselfinder.com/vessels/details/9183489
RIVER MAS ,019496,9228617,GENERAL CARGO ,119.800 ,114.180 , 20.000 , 11.300 ,7.715 ,"7,252 ","2,982 ","7,481 ",https://www.vesselfinder.com/vessels/details/9228617
ORIENTAL LUCK ,213367,9891103,GENERAL CARGO ,139.900 ,134.940 , 25.000 , 12.000 ,8.531 ,"12,434 ","5,980 ","19,730 ",https://www.vesselfinder.com/vessels/details/9891103
THOR FRIEND ,085867,9499967,GENERAL CARGO ,116.990 ,110.760 , 19.600 , 14.000 ,8.864 ,"8,545 ","3,848 ","11,878 ",https://www.vesselfinder.com/vessels/details/9499967
PEGASUS 01 ,940811,9088201,GENERAL CARGO ,98.170 ,91.870 , 18.800 , 12.900 ,7.429 ,"5,552 ","2,904 ","7,083 ",https://www.vesselfinder.com/vessels/details/9088201
LUNARA ,104315,9443126,BULK CARRIER ,179.990 ,179.990 , 28.200 , 14.300 ,10.101 ,"21,192 ","11,615 ","33,709 ",https://www.vesselfinder.com/vessels/details/9443126
ASIAN HARMONY ,983860,9196486,GENERAL CARGO ,91.800 ,84.980 , 17.200 , 11.000 ,7.114 ,"4,353 ","1,846 ","5,805 ",https://www.vesselfinder.com/vessels/details/9196486
MERGING GRAND 17 ,964141,9146132,GENERAL CARGO ,130.730 ,124.450 , 19.600 , 13.200 ,7.719 ,"9,189 ","3,695 ","12,034 ",https://www.vesselfinder.com/vessels/details/9146132
